Timestamp,Hostname,MacBook_Model,Citrix_Version,Last_Sleep_Time,WiFi_Status,SSID,Wireless_Signal,Wireless_Channel,Local_IP,Egress_IP,VPN_Tunnel_IP,DNS_Server,DNS_Latency_ms,VPN_Connected,VPN_Name,VPN_Latency_ms,Memory_Free_MB,CPU_Usage_Percent,Latency_Google_ms,Latency_US_East_Coast_ms,Latency_US_West_Coast_ms,Download_Mbps,Upload_Mbps
2025-10-23 19:12:10,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:02:01,Connected,suduhaas,-62,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,21.566,Yes,NordVPN NordLynx,21.712,4068.31,10.49,19.439,47.386,20.851,17.36,1.62
2025-10-23 19:13:04,Duanes-MacBook-Pro,MacBook Pro M2 Pro,25.03.10,2025-10-23 19:02:01,Connected,suduhaas,-65,36,192.168.1.217,172.93.132.121,10.5.0.2,100.64.0.2,14.212,Yes,NordVPN NordLynx,15.844,3993.46,12.42,16.130,134.642,179.841,18.67,8.33
